time,num_variables,base_num_polys,max_deg,sum_num_polys,error
9,4,4,4,1,0.8034885946833715
0,4,4,4,4,0.9047165908269185
1,4,4,4,4,0.9172548689729371
2,4,4,4,4,0.9727704520857811
3,4,4,4,4,0.9902319991252299
4,4,4,4,4,0.9333253941104297
5,4,4,4,4,0.7833642072274984
6,4,4,4,4,0.9268376856694015
7,4,4,4,4,0.9880177353664092
8,4,4,4,4,0.9120594419301516
9,4,4,4,4,0.9996331285584413
0,4,4,4,16,0.9213327420659713
1,4,4,4,16,0.9108859656241729
2,4,4,4,16,0.9122293173601654
3,4,4,4,16,0.8196942694838302
4,4,4,4,16,0.96713788308767
5,4,4,4,16,0.8487814978452711
6,4,4,4,16,0.8599052112893134
7,4,4,4,16,0.9267790202793014
8,4,4,4,16,0.9417779538862862
9,4,4,4,16,0.9095584938773085
0,4,4,4,256,0.8581689645574975
1,4,4,4,256,0.9396753874100296
2,4,4,4,256,0.8306038998170173
3,4,4,4,256,0.7834989802024449
4,4,4,4,256,0.9440519998118191
5,4,4,4,256,0.9467586417625266
6,4,4,4,256,0.8552550976239073
7,4,4,4,256,0.7407438677769821
8,4,4,4,256,0.9115282128425233
9,4,4,4,256,0.8855253854552453
0,4,4,4,1024,0.8715744221877569
1,4,4,4,1024,0.9149340189716451
2,4,4,4,1024,0.7535450020932969
3,4,4,4,1024,0.8487852395866593
4,4,4,4,1024,0.8315929783352756
5,4,4,4,1024,0.9129183395224764
6,4,4,4,1024,0.736495739178502
7,4,4,4,1024,0.9081289486932228
8,4,4,4,1024,0.7388091203560433
9,4,4,4,1024,0.9006535108075916
0,4,16,4,1,0.661983956363178
1,4,16,4,1,0.6547615189398985
2,4,16,4,1,0.902819219626968
3,4,16,4,1,0.6164686551971522
4,4,16,4,1,0.9420622817337488
5,4,16,4,1,0.870723938625315
6,4,16,4,1,0.9112332077871098
7,4,16,4,1,0.8562263530105836
8,4,16,4,1,0.8684875803911491
9,4,16,4,1,0.7432418053778654
0,4,16,4,4,0.7548227410082301
1,4,16,4,4,0.8647367002776951
2,4,16,4,4,0.7785062167542001
3,4,16,4,4,0.9052574175363337
4,4,16,4,4,0.6209517296427042
5,4,16,4,4,0.8358184510979026
6,4,16,4,4,0.8720205629681452
7,4,16,4,4,0.8105353598183759
8,4,16,4,4,0.7139017683838476
9,4,16,4,4,0.7766540256084832
0,4,16,4,16,0.6355928913396928
1,4,16,4,16,0.7763967024681525
2,4,16,4,16,0.7390072013854934
3,4,16,4,16,0.7408922678487888
4,4,16,4,16,0.6213462875183722
5,4,16,4,16,0.6959939931800386
6,4,16,4,16,0.7813035481002194
7,4,16,4,16,0.6732453402495585
8,4,16,4,16,0.7441888969552932
9,4,16,4,16,0.6233571479255824
0,4,16,4,256,0.5227204255308157
1,4,16,4,256,0.45041091771710007
2,4,16,4,256,0.6819225691431005
3,4,16,4,256,0.582188274040316
4,4,16,4,256,0.6568999881120953
5,4,16,4,256,0.5121533984627239
6,4,16,4,256,0.6321495264726225
7,4,16,4,256,0.6776007881156991
8,4,16,4,256,0.46526642564893744
9,4,16,4,256,0.5354295594618462
0,4,16,4,1024,0.48778535475879814
1,4,16,4,1024,0.5790677117579379
2,4,16,4,1024,0.647395328332958
3,4,16,4,1024,0.5367868977196133
4,4,16,4,1024,0.532555686166006
5,4,16,4,1024,0.6266316770856136
6,4,16,4,1024,0.6267106469196171
7,4,16,4,1024,0.4432590797823163
8,4,16,4,1024,0.5414768600682411
9,4,16,4,1024,0.5652624559053705
0,4,64,4,1,0.5052818675748585
1,4,64,4,1,0.5908160135860918
2,4,64,4,1,0.4366303016265437
3,4,64,4,1,0.5452050137860525
4,4,64,4,1,0.5972701766200555
5,4,64,4,1,0.5689428122601713
6,4,64,4,1,0.6337034088731064
7,4,64,4,1,0.3321091756456258
8,4,64,4,1,0.4037665218150027
9,4,64,4,1,0.6266973303360771
0,4,64,4,4,0.3169575376752305
1,4,64,4,4,0.376246790012719
2,4,64,4,4,0.3520844449665416
3,4,64,4,4,0.6476600137710382
4,4,64,4,4,0.5590802127183281
5,4,64,4,4,0.31581319306476474
6,4,64,4,4,0.4534141049743349
7,4,64,4,4,0.6147798144222718
8,4,64,4,4,0.5384419749472075
9,4,64,4,4,0.5133524808614861
0,4,64,4,16,0.2674158851259602
1,4,64,4,16,0.35129262862059285
2,4,64,4,16,0.18944328813492975
3,4,64,4,16,0.35314304694002685
4,4,64,4,16,0.24838521188709492
5,4,64,4,16,0.19651222188258938
6,4,64,4,16,0.16954625962871345
7,4,64,4,16,0.3138219144843459
8,4,64,4,16,0.3353113320987865
9,4,64,4,16,0.23668835734258473
0,4,64,4,256,0.06653656629749953
1,4,64,4,256,0.07476335146533485
2,4,64,4,256,0.14045676728984696
3,4,64,4,256,0.08548585646039675
4,4,64,4,256,0.12826425885273185
5,4,64,4,256,0.11376462314557424
6,4,64,4,256,0.1101861090804101
7,4,64,4,256,0.10653307748490382
8,4,64,4,256,0.08054319265491924
9,4,64,4,256,0.08697970546261735
0,4,64,4,1024,0.12315012439990974
1,4,64,4,1024,0.10993928613437756
2,4,64,4,1024,0.12138673380673679
3,4,64,4,1024,0.09516295299279061
4,4,64,4,1024,0.09824540287208279
5,4,64,4,1024,0.10134718293034715
6,4,64,4,1024,0.07751612086929717
7,4,64,4,1024,0.13071281928940154
8,4,64,4,1024,0.11905862304544554
9,4,64,4,1024,0.05299993819570281
